DRAFT_YEAR,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,POSITION,full_name,merge_key
1964,Black,Tom,C,Tom Black,Tom Black_1964
1981,Blackman,Rolando,G,Rolando Blackman,Rolando Blackman_1981
0,Blackwell,Alex,F,Alex Blackwell,Alex Blackwell_0
1984,Blackwell,Cory,F,Cory Blackwell,Cory Blackwell_1984
0,Blackwell,James,G,James Blackwell,James Blackwell_0
1987,Blackwell,Nate,G,Nate Blackwell,Nate Blackwell_1987
2009,Blair,DeJuan,C-F,DeJuan Blair,DeJuan Blair_2009
2003,Blake,Steve,G,Steve Blake,Steve Blake_2003
0,Blakely,Marqus,F,Marqus Blakely,Marqus Blakely_0
0,Blakeney,Antonio,G,Antonio Blakeney,Antonio Blakeney_0
2006,Blalock,Will,G,Will Blalock,Will Blalock_2006
1961,Blaney,George,G,George Blaney,George Blaney_1961
1990,Blanks,Lance,G,Lance Blanks,Lance Blanks_1990
1989,Blanton,Ricky,F,Ricky Blanton,Ricky Blanton_1989
2005,Blatche,Andray,C-F,Andray Blatche,Andray Blatche_2005
1989,Blaylock,Mookie,G,Mookie Blaylock,Mookie Blaylock_1989
2010,Bledsoe,Eric,G,Eric Bledsoe,Eric Bledsoe_2010
2019,Blevins,Keljin,G,Keljin Blevins,Keljin Blevins_2019
1950,Blevins,Leon,G,Leon Blevins,Leon Blevins_1950
1966,Block,John,F,John Block,John Block_1966
0,Bloom,Mike,C,Mike Bloom,Mike Bloom_0
2017,Blossomgame,Jaron,F,Jaron Blossomgame,Jaron Blossomgame_2017
1993,Blount,Corie,F-C,Corie Blount,Corie Blount_1993
1997,Blount,Mark,C-F,Mark Blount,Mark Blount_1997
0,Blue,Vander,G,Vander Blue,Vander Blue_0
2018,Bluiett,Trevon,G-F,Trevon Bluiett,Trevon Bluiett_2018
1981,Blume,Ray,G,Ray Blume,Ray Blume_1981
1949,Bobb,Nelson,G,Nelson Bobb,Nelson Bobb_1949
0,Bobbitt,Tony,G,Tony Bobbitt,Tony Bobbitt_0
1958,Bockhorn,Arlen,G,Arlen Bockhorn,Arlen Bockhorn_1958
0,Boeheim,Buddy,F,Buddy Boeheim,Buddy Boeheim_0
1968,Boerwinkle,Tom,C,Tom Boerwinkle,Tom Boerwinkle_1968
2003,Bogans,Keith,G-F,Keith Bogans,Keith Bogans_2003
2014,Bogdanovic,Bogdan,G,Bogdan Bogdanovic,Bogdan Bogdanovic_2014
2011,Bogdanovic,Bojan,F,Bojan Bogdanovic,Bojan Bogdanovic_2011
1987,Bogues,Muggsy,G,Muggsy Bogues,Muggsy Bogues_1987
2005,Bogut,Andrew,C,Andrew Bogut,Andrew Bogut_2005
0,Bohannon,Etdrick,F,Etdrick Bohannon,Etdrick Bohannon_0
2019,Bol,Bol,C-F,Bol Bol,Bol Bol_2019
1985,Bol,Manute,C,Manute Bol,Manute Bol_1985
2017,Bolden,Jonah,F,Jonah Bolden,Jonah Bolden_2017
